Time(s),AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2.384185791015625e-06,-0.907958984375,0.075439453125,-0.154052734375,-0.24427480916030533,0.916030534351145,-1.251908396946565
0.010059118270874023,-0.91552734375,0.06396484375,-0.1337890625,-0.2900763358778626,1.015267175572519,-1.3740458015267176
0.02005600929260254,-0.913818359375,0.09033203125,-0.14013671875,-0.3511450381679389,0.5801526717557252,-1.3587786259541985
0.030058622360229492,-0.91064453125,0.0849609375,-0.138916015625,-0.5190839694656488,-0.6946564885496184,-1.5419847328244274
0.04005575180053711,-0.917236328125,0.0859375,-0.138427734375,-0.5114503816793893,-1.1068702290076335,-1.534351145038168
0.05005502700805664,-0.910400390625,0.08056640625,-0.139404296875,-0.3969465648854962,-0.5648854961832062,-1.3206106870229009
0.06005406379699707,-0.9072265625,0.071533203125,-0.13671875,-0.48854961832061067,0.29770992366412213,-1.3358778625954197
0.0700540542602539,-0.911865234375,0.07275390625,-0.140869140625,-0.5190839694656488,0.8244274809160306,-1.381679389312977
0.08005404472351074,-0.913330078125,0.093505859375,-0.12646484375,-0.42748091603053434,0.04580152671755725,-1.4122137404580153
0.09005403518676758,-0.91748046875,0.07763671875,-0.13232421875,-0.3893129770992366,-0.04580152671755725,-1.4580152671755726
0.10005402565002441,-0.91455078125,0.083740234375,-0.139404296875,-0.42748091603053434,0.10687022900763359,-1.3282442748091603
0.11005473136901855,-0.908203125,0.081787109375,-0.1376953125,-0.4580152671755725,0.7938931297709924,-1.3435114503816794
0.12005424499511719,-0.918701171875,0.080322265625,-0.140625,-0.5038167938931297,0.12213740458015267,-1.6870229007633588
0.13005471229553223,-0.912109375,0.078125,-0.150634765625,-0.5572519083969466,-0.3511450381679389,-1.5877862595419847
0.14005494117736816,-0.91455078125,0.067138671875,-0.130126953125,-0.2824427480916031,-0.44274809160305345,-1.6106870229007633
0.1500542163848877,-0.912109375,0.071044921875,-0.149169921875,-0.6030534351145038,-0.12213740458015267,-1.6259541984732824
0.16001486778259277,-0.915283203125,0.076416015625,-0.132080078125,-0.3816793893129771,0.4580152671755725,-1.3206106870229009
0.17005443572998047,-0.912353515625,0.079345703125,-0.14208984375,-0.4580152671755725,1.0763358778625953,-1.3435114503816794
0.1800553798675537,-0.907958984375,0.082763671875,-0.138427734375,-0.4122137404580153,0.6717557251908397,-1.6793893129770991
